	Time	cvTop	cvBot	Sum(cvTop)	Sum(cvBot)	cvCh0	cvCh1	cTop	cRoot	cBot	cvRoot	Sum(cvRoot)	Sum(cvNEql)	TLevel	cGWL	cRunOff	Sum(cRunOff)	"(cv(i),"	"Sum(cv(i)),"	"i=1,NObs)"
	[T]	[M/L2/T]	[M/L2/T]	[M/L2]	[M/L2]	[M/L2]	[M/L2]	[M/L3]	[M/L3]	[M/L3]	[M/L2/T]	[M/L2]	[M/L2]	[M/L3]	[M/L2]	[M/L3]	[M/L2/T]	[M/L2]		
	0.787	1.47E+01	0.00E+00	1.16E+01	0.00E+00	0.00E+00	0.00E+00	3.92E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	26	0.00E+00	0.00E+00	0.00E+00			
	0.8536	1.47E+01	0.00E+00	1.25E+01	0.00E+00	0.00E+00	0.00E+00	4.13E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	27	0.00E+00	0.00E+00	0.00E+00			
	0.9401	1.47E+01	0.00E+00	1.38E+01	0.00E+00	0.00E+00	0.00E+00	4.38E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	28	0.00E+00	0.00E+00	0.00E+00			
	1.0266	1.47E+01	0.00E+00	1.51E+01	0.00E+00	0.00E+00	0.00E+00	4.61E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	29	0.00E+00	0.00E+00	0.00E+00			
	1.139	1.47E+01	0.00E+00	1.67E+01	0.00E+00	0.00E+00	0.00E+00	4.90E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	30	0.00E+00	0.00E+00	0.00E+00			
	1.2515	1.47E+01	0.00E+00	1.84E+01	0.00E+00	0.00E+00	0.00E+00	5.16E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	31	0.00E+00	0.00E+00	0.00E+00			
	1.3977	1.47E+01	0.00E+00	2.05E+01	0.00E+00	0.00E+00	0.00E+00	5.47E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	32	0.00E+00	0.00E+00	0.00E+00			
	1.5439	1.47E+01	0.00E+00	2.27E+01	0.00E+00	0.00E+00	0.00E+00	5.77E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	33	0.00E+00	0.00E+00	0.00E+00			
	1.6901	1.47E+01	0.00E+00	2.48E+01	0.00E+00	0.00E+00	0.00E+00	6.05E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	34	0.00E+00	0.00E+00	0.00E+00			
	1.8363	1.47E+01	0.00E+00	2.70E+01	0.00E+00	0.00E+00	0.00E+00	6.31E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	35	0.00E+00	0.00E+00	0.00E+00			
	1.9824	1.47E+01	0.00E+00	2.91E+01	0.00E+00	0.00E+00	0.00E+00	6.56E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	36	0.00E+00	0.00E+00	0.00E+00			
	2.1286	1.47E+01	0.00E+00	3.13E+01	0.00E+00	0.00E+00	0.00E+00	6.80E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	37	0.00E+00	0.00E+00	0.00E+00			
	2.2748	1.47E+01	0.00E+00	3.34E+01	0.00E+00	0.00E+00	0.00E+00	7.03E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	38	0.00E+00	0.00E+00	0.00E+00			
	2.421	1.47E+01	0.00E+00	3.56E+01	0.00E+00	0.00E+00	0.00E+00	7.25E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	39	0.00E+00	0.00E+00	0.00E+00			
	2.5672	1.47E+01	0.00E+00	3.77E+01	0.00E+00	0.00E+00	0.00E+00	7.45E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	40	0.00E+00	0.00E+00	0.00E+00			
	2.7134	1.47E+01	0.00E+00	3.99E+01	0.00E+00	0.00E+00	0.00E+00	7.65E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	41	0.00E+00	0.00E+00	0.00E+00			
	2.8596	1.47E+01	0.00E+00	4.20E+01	0.00E+00	0.00E+00	0.00E+00	7.83E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	42	0.00E+00	0.00E+00	0.00E+00			
	3.0058	1.47E+01	0.00E+00	4.42E+01	0.00E+00	0.00E+00	0.00E+00	7.99E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	43	0.00E+00	0.00E+00	0.00E+00			
	3.152	1.47E+01	0.00E+00	4.63E+01	0.00E+00	0.00E+00	0.00E+00	8.15E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	44	0.00E+00	0.00E+00	0.00E+00			
	3.2982	1.47E+01	0.00E+00	4.85E+01	0.00E+00	0.00E+00	0.00E+00	8.29E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	45	0.00E+00	0.00E+00	0.00E+00			
